127.0.0.1 - - [02/Jul/2018:14:55:43 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/ HTTP/1.1" 200 22561
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/save.gif HTTP/1.1" 200 7913
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/deals.png HTTP/1.1" 200 21712
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/1.jpg HTTP/1.1" 200 80387
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/new.gif HTTP/1.1" 200 15780
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/2.jpg HTTP/1.1" 200 82898
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/sale.gif HTTP/1.1" 200 32256
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/original.jpg HTTP/1.1" 200 22447
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/6.jpg HTTP/1.1" 200 61332
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/t5.jpg HTTP/1.1" 200 33299
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/z1.jpg HTTP/1.1" 200 25072
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/mm.jpg HTTP/1.1" 200 22349
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/x1.jpg HTTP/1.1" 200 30420
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/7.jpg HTTP/1.1" 200 101262
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/css/caroualresponsive.css HTTP/1.1" 200 6823
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/ip8.jpg HTTP/1.1" 200 28615
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/Logo.png HTTP/1.1" 200 8768
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/gn.jpg HTTP/1.1" 200 15536
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/la.jpg HTTP/1.1" 200 16573
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/css/mobile.css HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/HDFC.gif HTTP/1.1" 200 17277
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/3.jpg HTTP/1.1" 200 148695
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/4.jpg HTTP/1.1" 200 114604
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/mg.jpg HTTP/1.1" 200 109380
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:46 +0530] "GET /mobile/resources/images/5.jpg HTTP/1.1" 200 95923
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:55:47 +0530] "GET /mobile/resources/images/9.png HTTP/1.1" 200 4278813
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/ HTTP/1.1" 200 22561
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/css/mobile.css HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/3.jpg HTTP/1.1" 200 148695
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/Logo.png HTTP/1.1" 200 8768
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/6.jpg HTTP/1.1" 200 61332
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/5.jpg HTTP/1.1" 200 95923
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/4.jpg HTTP/1.1" 200 114604
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/2.jpg HTTP/1.1" 200 82898
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/1.jpg HTTP/1.1" 200 80387
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/HDFC.gif HTTP/1.1" 200 17277
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/7.jpg HTTP/1.1" 200 101262
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/new.gif HTTP/1.1" 200 15780
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/mg.jpg HTTP/1.1" 200 109380
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/sale.gif HTTP/1.1" 200 32256
0:0:0:0:0:0:0:1 - - [02/Jul/2018:14:56:08 +0530] "GET /mobile/resources/images/deals.png HTTP/1.1" 200 21712
